word,query,dmetaphone_sim,dmetaphone_ed,metaphone_sim,metaphone_ed,nysiis_sim,nysiis_ed,soundex_sim,soundex_ed,og_sim,og_ed,label
ablavar,ablavaar,1.0,0,1.0,0,1.0,0,1.0,0,0.9833,1,1
ablavar,ablaavr,1.0,0,1.0,0,0.9762,1,1.0,0,0.9714,2,1
ablavar,ablvaar,1.0,0,1.0,0,0.9278,1,1.0,0,0.9667,2,1
ablysinol,ablysinol,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
ablysinol,aablysinol,1.0,0,1.0,0,1.0,0,1.0,0,0.97,1,1
ablysinol,ablysino9l,1.0,0,1.0,0,1.0,0,1.0,0,0.9933,1,1
ablysinol,ablysnol,1.0,0,1.0,0,0.9606,1,1.0,0,0.9815,1,1
ablysinol,ablyssinol,1.0,0,1.0,0,1.0,0,1.0,0,0.9833,1,1
abobotulinumtoxina,abobotulinumtoxina,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
abobotulinumtoxina,abobkotulinumtoxina,0.9169,1,0.9169,1,0.9889,1,0.8833,1,0.9895,1,1
abobotulinumtoxina,abobotulinumtooxina,1.0,0,1.0,0,1.0,0,1.0,0,1.0,1,1
abobotulinumtoxina,abobotulinumtoxinza,1.0,1,1.0,1,1.0,1,1.0,0,1.0,1,1
abobotulinumtoxina,abobotuulinumtoxina,1.0,0,1.0,0,1.0,0,1.0,0,0.9836,1,1
abraxane,abraxane,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
abraxane,abraxaane,1.0,0,1.0,0,1.0,0,1.0,0,0.9852,1,1
abraxane,abraxae,0.9722,1,0.9722,1,0.9524,2,1.0,0,0.9833,1,1
abraxane,abraxxane,1.0,0,1.0,0,1.0,0,1.0,0,0.9815,1,1
abraxane,braxane,0.9444,1,0.9444,1,0.8135,1,0.6667,3,0.8393,1,1
abraxane,abraxnae,1.0,0,1.0,0,0.9762,1,1.0,0,0.9792,2,1
abreva,abreva,0.925,1,0.925,1,0.805,2,0.75,2,0.765,2,0
abreva,abreva,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
abreva,abreeva,1.0,0,1.0,0,1.0,0,1.0,0,0.9714,1,1
abreva,abrefva,0.96,1,0.96,1,0.9722,1,1.0,0,0.9714,1,1
abreva,abrev,1.0,0,1.0,0,1.0,0,1.0,0,0.9722,1,1
abreva,abrev,0.67,3,0.67,3,0.76,2,0.7,2,0.76,2,0
abreva,abrreva,1.0,0,1.0,0,1.0,0,1.0,0,0.9667,1,1
abreva,aberva,1.0,0,1.0,0,0.8267,3,1.0,0,0.9556,2,1
abrilada,abrilada,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
abrilada,abbrilada,1.0,0,1.0,0,1.0,0,1.0,0,0.9704,1,1
abrilada,abrilad9a,1.0,0,1.0,0,1.0,0,1.0,0,0.9889,1,1
abrilada,abrilda,1.0,0,1.0,0,0.9762,1,1.0,0,0.9554,1,1
abrilada,abirlada,1.0,0,1.0,0,0.9619,2,1.0,0,0.9667,2,1
abrilada,abrilaad,1.0,0,1.0,0,1.0,0,1.0,0,0.9833,2,1
absorbase,absorbase,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
absorbase,aborbase,0.8756,1,0.8756,1,0.8714,1,0.8667,2,0.887,1,1
absorbase,absorbae,0.9722,1,0.9722,1,0.9667,2,1.0,0,0.9889,1,1
absorbase,absorbaseq,0.981,1,0.981,1,0.9867,2,1.0,0,0.9967,1,1
absorbase,absorabse,1.0,0,1.0,0,0.9792,2,1.0,0,0.9815,2,1
acalabrutinib,acalabrutinib,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acalabrutinib,acalabruttinib,1.0,0,1.0,0,1.0,0,1.0,0,0.9976,1,1
acalabrutinib,acalarutinib,0.9042,1,0.9042,1,0.9386,1,0.8833,1,0.9386,1,1
acalabrutinib,aclabrutinib,1.0,0,1.0,0,0.8795,1,1.0,0,0.9573,1,1
acanya,acanya,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acanya,aacanya,1.0,0,1.0,0,1.0,0,1.0,0,0.8321,1,1
acanya,acanyaa,1.0,0,1.0,0,1.0,0,1.0,0,0.981,1,1
acanya,acanyaw,1.0,0,1.0,0,1.0,0,1.0,0,0.981,1,1
acanya,acanyya,1.0,0,1.0,0,1.0,0,1.0,0,0.9762,1,1
acanya,canya,0.9111,1,0.9111,1,0.9067,2,0.8667,1,0.8756,2,0
acanya,canya,0.8889,1,0.8889,1,0.8056,1,0.6667,3,0.7778,1,1
acarbose,acarbose,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acarbose,acarabose,1.0,0,1.0,0,0.9464,1,1.0,0,0.9778,1,1
acarbose,acarrbose,1.0,0,1.0,0,1.0,0,1.0,0,0.9778,1,1
acarbose,acarobse,1.0,0,1.0,0,0.9714,2,1.0,0,0.975,2,1
acarbose,caarbose,0.9333,1,0.9333,1,0.8135,1,0.6667,3,0.9583,2,1
accretropin,accretropin,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
accretropin,ac7cretropin,0.9667,1,0.9667,1,1.0,0,0.8667,2,0.9778,1,1
accretropin,accretropimn,0.9833,1,0.9833,1,1.0,0,1.0,0,1.0,1,1
accretropin,accrtropin,1.0,0,1.0,0,0.9119,1,1.0,0,0.9818,1,1
accretropin,anccretropin,0.9625,1,0.9625,1,0.9727,1,0.85,2,0.975,1,1
accretropin,accrteropin,1.0,0,1.0,0,0.9767,2,1.0,0,0.9818,2,1
accrufer,accrufer,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
accrufer,accrfer,1.0,0,1.0,0,0.9278,1,1.0,0,0.975,1,1
accrufer,accruf2er,1.0,0,1.0,0,1.0,0,1.0,0,0.9852,1,1
accrufer,accurfer,1.0,0,1.0,0,0.9619,2,1.0,0,0.9708,2,1
accuneb,accuneb,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
accuneb,aaccuneb,1.0,0,1.0,0,1.0,0,1.0,0,0.9625,1,1
accuneb,accuqneb,0.9467,1,0.9467,1,0.9667,1,0.8667,2,0.975,1,1
accuneb,axccuneb,0.9111,2,0.9111,2,0.9571,1,1.0,0,0.9625,1,1
accuneb,accunbe,1.0,0,1.0,0,0.9667,1,1.0,0,0.9762,2,1
accuretic,accuretic,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
accuretic,accretic,1.0,0,1.0,0,0.8905,1,1.0,0,0.9741,1,1
accuretic,accuetic,0.9467,1,0.9467,1,0.9028,2,0.8667,2,0.9778,1,1
accuretic,accuretics,0.9722,1,0.9722,1,1.0,0,1.0,0,0.9967,1,1
accuretic,accuuretic,1.0,0,1.0,0,1.0,0,1.0,0,0.98,1,1
accuretic,auccuretic,1.0,0,1.0,0,1.0,0,1.0,0,0.92,1,1
accutane,accutane,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
accutane,aaccutane,1.0,0,1.0,0,1.0,0,1.0,0,0.8729,1,1
accutane,acctane,0.85,1,0.85,1,0.88,1,0.85,1,0.8643,2,0
accutane,acctane,1.0,0,1.0,0,0.9022,1,1.0,0,0.9708,1,1
accutane,accuttane,1.0,0,1.0,0,1.0,0,1.0,0,0.9815,1,1
accutane,accutaen,1.0,0,1.0,0,1.0,0,1.0,0,0.9833,2,1
aceon,aceon,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
aceon,aceon,0.5556,2,0.5556,2,0.7222,2,0.6667,2,0.8667,2,0
aceon,aceon,0.75,3,0.75,3,0.7778,2,0.7333,2,0.7867,2,0
aceon,aceon,1.0,0,1.0,0,0.9467,1,1.0,0,0.8756,2,0
aceon,aceon,0.8,1,0.8,1,0.75,1,0.85,1,0.805,2,0
aceon,aceon,0.72,3,0.72,3,0.9111,2,0.7333,2,0.8578,2,0
aceon,aceeon,1.0,0,1.0,0,1.0,0,1.0,0,0.9611,1,1
aceon,aceeon,0.5556,2,0.5556,2,0.7222,2,0.6667,2,0.8222,2,0
aceon,aceeon,0.72,3,0.72,3,0.9111,2,0.7333,2,0.8222,2,0
aceon,aceonn,1.0,0,1.0,0,1.0,0,1.0,0,0.9722,1,1
aceon,aceonn,1.0,0,1.0,0,0.9467,1,1.0,0,0.8311,2,0
aceon,aceono,1.0,0,1.0,0,1.0,0,1.0,0,0.9722,1,1
aceon,aceono,1.0,0,1.0,0,0.9467,1,1.0,0,0.8311,2,0
aceon,aceno,0.6111,2,0.6111,2,0.7222,2,0.6667,3,0.7833,2,0
aceon,aceno,1.0,0,1.0,0,1.0,0,1.0,0,0.9533,2,1
aceon,aceno,0.8,1,0.8,1,0.75,1,0.85,1,0.805,2,0
aceon,caeon,0.6111,2,0.6111,2,0.8056,1,0.6667,3,0.9333,2,1
aceon,caeon,0.9,1,0.9,1,0.925,1,0.85,2,0.88,1,0
aceon,caeon,0.9,1,0.9,1,0.8933,2,0.85,2,0.7867,2,0
acephen,acephen,0.8483,2,0.8483,2,0.9444,1,0.8833,1,0.7676,2,0
acephen,acephen,1.0,0,1.0,0,0.7556,1,0.8333,1,0.8095,2,0
acephen,acephen,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acephen,acephen,0.85,1,0.85,1,0.765,2,0.85,1,0.7743,2,0
acephen,acepen,0.9333,1,0.9333,1,0.9222,2,0.8667,2,0.8756,2,0
acephen,acepen,0.7222,2,0.7222,2,0.7389,2,0.6667,3,0.8222,2,0
acephen,acepen,0.8667,1,0.8667,1,0.9222,1,1.0,0,0.9714,1,1
acephen,acepheen,1.0,0,1.0,0,1.0,0,1.0,0,0.9833,1,1
acephen,aephen,0.7778,1,0.7778,1,0.9333,1,0.8333,1,0.6528,2,0
acephen,aephen,0.5556,2,0.5556,2,0.7833,2,0.8333,1,0.8222,2,0
acephen,aephen,0.925,1,0.925,1,0.825,2,0.85,2,0.9571,1,1
acephen,aephen,0.925,1,0.925,1,0.94,1,0.85,2,0.81,1,0
acephen,aecphen,0.85,1,0.85,1,0.9022,1,1.0,0,0.9571,2,1
acephen,aecphen,0.85,1,0.85,1,0.88,1,0.85,1,0.7743,2,0
acetadote,acetadote,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acetadote,accetadote,0.95,1,0.95,1,1.0,0,1.0,0,0.9733,1,1
acetadote,acetaote,0.96,1,0.96,1,0.9583,2,1.0,0,0.9815,1,1
acetadote,aqcetadote,0.95,1,0.95,1,0.9667,1,1.0,0,0.97,1,1
acetadote,acetadoet,1.0,0,1.0,0,1.0,0,1.0,0,0.9889,2,1
acetaminophen,acetaminophen,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acetaminophen,accetaminophen,0.9625,1,0.9625,1,1.0,0,1.0,0,0.981,1,1
acetaminophen,acetaminophn,1.0,0,1.0,0,1.0,1,1.0,0,1.0,1,1
acetaminophen,acetaminopjhen,0.9345,2,0.9345,2,0.9921,2,1.0,0,1.0,1,1
acetaminophen,acetaimnophen,1.0,0,1.0,0,0.9733,2,1.0,0,0.9872,2,1
acetaminophen,acetamionphen,1.0,0,1.0,0,0.9884,1,1.0,0,0.9923,2,1
acetasol,acetasol,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acetasol,aceasol,0.9467,1,0.9467,1,0.9028,2,0.8667,2,0.9708,1,1
acetasol,acetasool,1.0,0,1.0,0,1.0,0,1.0,0,0.9889,1,1
acetasol,acteasol,0.805,1,0.805,1,0.8905,1,1.0,0,0.9667,2,1
acetazolamide,acetazolamide,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acetazolamide,acetazolamidev,0.9875,1,0.9875,1,1.0,2,1.0,0,1.0,1,1
acetazolamide,acgetazolamide,0.8643,1,0.8643,1,0.9795,1,1.0,0,0.981,1,1
acetazolamide,atacetazolamide,0.8339,1,0.8339,1,0.8571,2,0.75,2,0.8677,2,1
acetazolamide,caetazolamide,0.7825,2,0.7825,2,0.8207,1,0.5,3,0.9744,2,1
acetylcysteine,acetylcysteine,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acetylcysteine,accetylcysteine,0.9667,1,0.9667,1,1.0,0,1.0,0,0.9346,1,1
acetylcysteine,aetylcysteine,0.8982,1,0.8982,1,0.845,2,0.8875,2,0.9209,1,1
acetylcysteine,cetylcysteine,0.9583,1,0.9583,1,0.8207,1,0.6667,3,0.9762,1,1
acetylcysteine,caetylcysteine,0.7857,2,0.7857,2,0.8207,1,0.6667,3,0.9762,2,1
acetyldigitoxin,acetyldigitoxin,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acetyldigitoxin,acetldigitoxin,1.0,0,1.0,0,0.9224,1,1.0,0,0.9867,1,1
acetyldigitoxin,acetyldigit8oxin,1.0,0,1.0,0,1.0,0,1.0,0,1.0,1,1
acilac,acilac,0.75,2,0.75,2,0.9444,1,0.8833,1,0.8222,2,0
acilac,acilac,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acilac,aacilac,1.0,0,1.0,0,1.0,0,1.0,0,0.8571,1,1
acilac,accilac,0.8275,1,0.8275,1,1.0,0,1.0,0,0.873,1,1
acilac,aciilac,1.0,0,1.0,0,1.0,0,1.0,0,0.9667,1,1
acilac,acialc,1.0,0,1.0,0,0.9667,1,1.0,0,0.9611,2,1
acilac,acliac,0.75,1,0.75,1,0.9022,1,1.0,0,0.9556,2,1
aciphex,aciphex,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
aciphex,aciphex,0.8483,2,0.8483,2,0.9444,1,0.8833,1,0.7676,2,0
aciphex,aciphexx,1.0,0,1.0,0,0.9444,1,1.0,0,0.9875,1,1
aciphex,acipphex,0.8933,1,0.8933,1,0.9667,1,1.0,0,0.975,1,1
aciphex,aiphex,0.5278,3,0.5278,3,0.7833,2,0.6667,2,0.7778,2,0
aciphex,aiphex,0.6333,3,0.6333,3,0.75,3,0.6667,3,0.7889,2,0
aciphex,aiphex,0.805,2,0.805,2,0.6333,3,0.6667,3,0.8222,2,0
aciphex,aiphex,0.8275,1,0.8275,1,0.825,2,0.75,2,0.9571,1,1
aciphex,aiphex,0.7,3,0.7,3,0.805,2,0.7,3,0.8,2,0
aciphex,acipehx,0.8933,1,0.8933,1,0.8444,2,1.0,0,0.9714,2,1
aciphex,acpihex,0.73,3,0.73,3,0.8578,2,1.0,0,0.9619,2,1
aciphex,acpihex,0.8222,2,0.8222,2,0.8324,3,0.7333,2,0.8476,2,0
aclovate,aclovate,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
aclovate,aclovate,0.9533,1,0.9533,1,0.9175,2,0.8833,1,0.8952,2,0
aclovate,acelovate,0.88,1,0.88,1,0.8905,1,1.0,0,0.9704,1,1
aclovate,aclovat,1.0,0,1.0,0,1.0,0,1.0,0,0.9875,1,1
aclovate,alovate,0.94,1,0.94,1,0.9571,1,0.85,2,0.9625,1,1
acrisorcin,acrisorcin,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acrisorcin,acrisorci,0.981,1,0.981,1,0.9867,2,1.0,0,0.9967,1,1
acrisorcin,acrisorcino,1.0,0,1.0,0,1.0,0,1.0,0,1.0,1,1
acrivastine,acrivastine,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acrivastine,acrivastne,1.0,0,1.0,0,0.9933,1,1.0,0,0.9939,1,1
acrivastine,acrivastineon,0.9875,1,0.9875,1,1.0,2,1.0,0,1.0,2,1
acrivastine,acrivsatine,1.0,0,1.0,0,0.9833,2,1.0,0,0.9848,2,1
acrivastine,arcivastine,0.8643,2,0.8643,2,0.97,2,0.925,2,0.9727,2,1
actemra,actemra,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
actemra,acteimra,1.0,0,1.0,0,1.0,0,1.0,0,0.975,1,1
actemra,actemraa,1.0,0,1.0,0,1.0,0,1.0,0,0.9875,1,1
actemra,actemrra,1.0,0,1.0,0,1.0,0,1.0,0,0.9833,1,1
actemra,actsemra,0.9611,1,0.9611,1,0.9667,1,0.8833,1,0.9708,1,1
actemra,ctemra,0.9333,1,0.9333,1,0.8444,1,0.6667,3,0.9524,1,1
acth,acth,0.7778,2,0.7778,2,0.8483,2,0.8833,1,0.8483,2,0
acth,acth,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acth,acth,0.7778,2,0.7778,2,0.9417,1,0.8833,1,0.8483,2,0
acth,acth,0.9417,1,0.9417,1,0.8483,2,0.8833,1,0.9333,2,0
acth,aacth,1.0,0,1.0,0,1.0,0,1.0,0,0.94,1,1
acth,actth,0.7778,2,0.7778,2,0.8483,2,0.8833,1,0.8133,2,0
acth,actth,1.0,0,1.0,0,1.0,0,1.0,0,0.9533,1,1
acth,actth,0.7778,2,0.7778,2,0.9417,1,0.8833,1,0.8133,2,0
acth,cth,0.8889,1,0.8889,1,0.9167,1,0.6667,3,0.9167,1,1
acth,cth,0.9,1,0.9,1,0.88,2,0.85,2,0.88,2,0
acth,cth,0.0,2,0.0,2,0.5556,2,0.6667,2,0.5556,2,0
acth,cath,0.8889,1,0.8889,1,0.9167,2,0.6667,3,0.9167,2,1
acth,cath,0.9,1,0.9,1,0.94,1,0.85,2,0.805,2,0
acth,cath,0.0,2,0.0,2,0.7833,2,0.6667,2,0.7833,2,0
acth,cath,0.625,2,0.625,2,0.6762,3,0.7,3,0.6762,3,0
acthar,acthar,0.8667,1,0.8667,1,0.8578,2,0.8667,1,0.8222,2,0
acthar,acthar,0.9417,1,0.9417,1,0.8483,2,0.8833,1,0.9333,2,0
acthar,acthar,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acthar,actar,0.8667,1,0.8667,1,0.8578,2,0.8667,1,0.8578,2,0
acthar,actar,0.7778,2,0.7778,2,0.8483,2,0.8833,1,0.8483,2,0
acthar,actar,0.8833,1,0.8833,1,0.92,1,0.8833,1,0.8133,2,0
acthar,actar,0.8833,1,0.8833,1,0.9067,2,0.8833,1,0.8133,2,0
acthar,actar,0.805,2,0.805,2,0.6989,3,0.8667,2,0.6989,3,0
acthar,actar,0.8667,1,0.8667,1,1.0,0,1.0,0,0.9611,1,1
acthar,acthaar,1.0,0,1.0,0,1.0,0,1.0,0,0.9762,1,1
acthar,cthar,0.8,1,0.8,1,0.805,2,0.85,1,0.73,3,0
acthar,cthar,0.0,3,0.0,3,0.7222,2,0.5,3,0.7833,2,0
acthar,cthar,0.9167,1,0.9167,1,0.8083,1,0.6667,3,0.8111,1,1
acthar,achtar,0.8667,1,0.8667,1,0.8222,2,0.8667,1,0.8222,2,0
acthar,achtar,0.8667,1,0.8667,1,0.9556,1,1.0,0,0.9556,2,1
acthar,cathar,0.5556,2,0.5556,2,0.7071,3,0.5,3,0.6861,3,0
acthar,cathar,0.9167,1,0.9167,1,0.9333,2,0.6667,3,0.9444,2,1
acthrel,acthrel,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acthrel,acthrel,0.7867,2,0.7867,2,0.8667,2,0.8833,1,0.8667,2,0
acthrel,acthrel,0.7333,2,0.7333,2,0.9048,2,0.8333,1,0.9048,2,0
acthrel,accthrel,1.0,0,1.0,0,1.0,0,1.0,0,0.9667,1,1
acthrel,acthrelat,0.9722,1,0.9722,1,0.9778,2,1.0,0,0.9778,2,1
acthrel,cathrel,0.9333,1,0.9333,1,0.9524,2,0.6667,3,0.9524,2,1
acticlate,acticlate,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acticlate,aacticlate,1.0,0,1.0,0,1.0,0,1.0,0,0.87,1,1
acticlate,actclate,1.0,0,1.0,0,0.9208,1,1.0,0,0.9741,1,1
acticlate,actclate,0.8444,2,0.8444,2,0.826,2,0.8667,2,0.8571,2,0
acticlate,acticlaet,1.0,0,1.0,0,1.0,0,1.0,0,0.9889,2,1
acticort,acticort,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
acticort,acticort,0.89,1,0.89,1,0.7492,2,0.5,3,0.7857,2,0
acticort,acticortt,1.0,0,1.0,0,0.9476,2,1.0,0,0.9926,1,1
acticort,azcticort,0.9571,1,0.9571,1,0.9625,1,1.0,0,0.9667,1,1
acticort,atcicort,0.84,2,0.84,2,0.9571,2,0.925,2,0.9625,2,1
acticort,atcicort,0.9556,1,0.9556,1,0.7825,2,0.6667,2,0.8135,2,0
actidil,actidil,0.9067,1,0.9067,1,0.9429,1,0.8833,1,0.8679,3,0
actidil,actidil,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
actidil,actidi,0.8833,1,0.8833,1,0.92,1,0.8833,1,0.8933,2,0
actidil,actidi,0.96,1,0.96,1,0.9524,2,1.0,0,0.981,1,1
actidil,actidill,0.9067,1,0.9067,1,0.9429,1,0.8833,1,0.9,2,0
actidil,actidill,1.0,0,1.0,0,1.0,0,1.0,0,0.9875,1,1
actidil,actijdil,0.9611,1,0.9611,1,0.975,1,0.8833,1,0.975,1,1
actidil,atidil,0.85,1,0.85,1,0.9,1,0.85,1,0.8,2,0
actidil,atidil,0.7222,2,0.7222,2,0.7389,2,0.6667,3,0.8222,2,0
actidil,atidil,0.94,1,0.94,1,0.9571,1,0.85,2,0.9571,1,1
actidil,atidil,0.8333,2,0.8333,2,0.7556,2,0.6667,2,0.8889,2,0
actidil,catidil,0.9333,1,0.9333,1,0.9524,2,0.6667,3,0.9524,2,1
actifed,actifed,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
actifed,actifed,0.79,3,0.79,3,0.8857,2,0.8833,1,0.8857,2,0
actifed,acifed,0.705,2,0.705,2,0.9619,1,0.9333,2,0.9619,1,1
actifed,actied,0.8833,1,0.8833,1,0.92,1,0.8833,1,0.8933,2,0
actifed,actied,0.9533,1,0.9533,1,0.9429,2,0.8833,1,0.9714,1,1
actifed,actied,0.825,3,0.825,3,0.8743,3,0.8833,1,0.9095,2,0
actigall,actigall,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
actigall,actgall,1.0,0,1.0,0,0.9278,1,1.0,0,0.9708,1,1
actigall,actigahll,1.0,0,1.0,0,1.0,0,1.0,0,0.9852,1,1
actigall,actigallu,1.0,0,1.0,0,1.0,0,1.0,0,0.9926,1,1
actigall,acitgall,0.805,1,0.805,1,0.9619,2,1.0,0,0.9667,2,1
actinex,actinex,0.79,3,0.79,3,0.8857,2,0.8833,1,0.8857,2,0
actinex,actinex,0.8933,2,0.8933,2,0.9619,1,1.0,0,0.8667,2,0
actinex,actinex,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
actinex,actinedx,0.8533,3,0.8533,3,0.9214,2,0.8833,1,0.9214,2,0
actinex,actinedx,0.9714,1,0.9714,1,0.9476,2,1.0,0,0.9833,1,1
actinex,actinx,0.9222,2,0.9222,2,0.8933,2,0.8833,1,0.8933,2,0
actinex,actinx,1.0,0,1.0,0,0.9246,2,1.0,0,0.9762,1,1
actinex,actipnex,0.7086,4,0.7086,4,0.8556,3,0.8667,2,0.8952,2,0
actinex,actipnex,0.9667,1,0.9667,1,0.975,1,0.8833,1,0.975,1,1
actinex,catinex,0.84,2,0.84,2,0.8821,2,0.7,3,0.8821,2,0
actinex,catinex,0.9444,1,0.9444,1,0.9524,2,0.6667,3,0.9524,2,1
activase,activase,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1
activase,activse,1.0,0,1.0,0,0.9762,1,1.0,0,0.9792,1,1
activase,activse,0.7833,2,0.7833,2,0.8889,2,0.8333,1,0.9048,2,0
activase,activvase,1.0,0,1.0,0,1.0,0,1.0,0,0.9815,1,1
activase,acitvase,0.7675,1,0.7675,1,0.9619,2,1.0,0,0.9667,2,1
activase,actiavse,0.8933,1,0.8933,1,0.9762,1,1.0,0,0.975,2,1
